"entidad","municipio","causa","total_hectareas","fecha_termino"
"Puebla","Libres","Actividades agropecuarias",1,2016-01-10
"Puebla","Xiutetelco","Intencional",2.5,2016-01-15
"Puebla","San Salvador el Verde","Cazadores",2,2016-01-16
"Puebla","Tianguismanalco","Intencional",0.75,2016-01-17
"Puebla","Zacatlán","Intencional",0.25,2016-01-21
"Puebla","Amozoc","Actividades agropecuarias",0.75,2016-01-23
"Puebla","Cuyoaco","Fogatas",0.5,2016-01-23
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",1,2016-01-23
"Puebla","Atempan","Intencional",5.5,2016-01-24
"Puebla","General Felipe Ángeles","Fogatas",1,2016-01-24
"Puebla","Tlahuapan","Fumadores",2,2016-01-21
"Puebla","Cuyoaco","Fogatas",0.5,2016-01-25
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",4.55,2016-01-25
"Puebla","Atempan","Intencional",13.8,2016-01-26
"Puebla","General Felipe Ángeles","Fogatas",2,2016-01-26
"Puebla","Ahuazotepec","Intencional",0.75,2016-01-25
"Puebla","Ahuazotepec","Intencional",1,2016-01-25
"Puebla","Ahuazotepec","Intencional",2.5,2016-01-26
"Puebla","Puebla","Actividades agropecuarias",0.5,2016-01-26
"Puebla","Tianguismanalco","Intencional",4,2016-01-27
"Puebla","Nicolás Bravo","Fogatas",0.33,2016-01-27
"Puebla","Nicolás Bravo","Actividades agropecuarias",1,2016-01-27
"Puebla","Ahuazotepec","Intencional",0.75,2016-01-28
"Puebla","San Pedro Cholula","Actividades agropecuarias",1.5,2016-01-28
"Puebla","Tepatlaxco de Hidalgo","Intencional",0.5,2016-01-29
"Puebla","Atlixco","Intencional",1,2016-01-30
"Puebla","Tlachichuca","Fogatas",8,2016-01-30
"Puebla","Chignautla","Intencional",1,2016-01-31
"Puebla","Puebla","Intencional",0.5,2016-01-31
"Puebla","Ocotepec","Intencional",11.2,2016-02-01
"Puebla","Tlatlauquitepec","Intencional",2.5,2016-02-01
"Puebla","Ahuazotepec","Intencional",2,2016-02-02
"Puebla","Tlatlauquitepec","Intencional",1,2016-02-02
"Puebla","San Salvador el Seco","Quema de basureros",0.3,2016-02-02
"Puebla","Amozoc","Intencional",1.5,2016-02-03
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",0.5,2016-02-03
"Puebla","Amozoc","Actividades agropecuarias",2,2016-02-03
"Puebla","San Pedro Cholula","Intencional",4,2016-02-04
"Puebla","Amozoc","Actividades agropecuarias",1,2016-02-04
"Puebla","Tepatlaxco de Hidalgo","Intencional",1.5,2016-02-04
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",0.5,2016-02-05
"Puebla","San Pedro Cholula","Actividades agropecuarias",3,2016-02-05
"Puebla","Tianguismanalco","Intencional",6.4,2016-02-05
"Puebla","Ixtacamaxtitlán","Otras causas",2.7,2016-02-07
"Puebla","Tlahuapan","Intencional",0.25,2016-02-06
"Puebla","Coyotepec","Intencional",2,2016-02-06
"Puebla","San Salvador el Seco","Cazadores",10,2016-02-06
"Puebla","Amozoc","Intencional",9,2016-02-06
"Puebla","Ocotepec","Otras causas",1.5,2016-02-07
"Puebla","Tianguismanalco","Intencional",15.1,2016-02-07
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",4,2016-02-07
"Puebla","Tlachichuca","Fogatas",12.02,2016-02-07
"Puebla","Libres","Otras causas",4.6,2016-02-08
"Puebla","Tlachichuca","Fogatas",1.6,2016-02-08
"Puebla","Tlahuapan","Fogatas",1,2016-02-08
"Puebla","Tlahuapan","Actividades agropecuarias",1.5,2016-02-08
"Puebla","Ixtacamaxtitlán","Intencional",2.55,2016-02-09
"Puebla","Tepatlaxco de Hidalgo","Intencional",17,2016-02-09
"Puebla","Tlahuapan","Actividades agropecuarias",57.3,2016-02-09
"Puebla","Lafragua","Intencional",1,2016-02-09
"Puebla","San Nicolás de los Ranchos","Otras causas",0.26,2016-02-09
"Puebla","Tianguismanalco","Otras causas",2.25,2016-02-09
"Puebla","Tepatlaxco de Hidalgo","Actividades agropecuarias",1.6,2016-02-09
"Puebla","Tlahuapan","Actividades agropecuarias",1.25,2016-02-09
"Puebla","San Pedro Cholula","Actividades agropecuarias",2.1,2016-02-10
"Puebla","Tlahuapan","Actividades agropecuarias",0.5,2016-02-10
"Puebla","Tlachichuca","Actividades agropecuarias",0.75,2016-02-10
"Puebla","San Nicolás Buenos Aires","Actividades agropecuarias",12.95,2016-02-12
"Puebla","Ahuazotepec","Intencional",1.5,2016-02-12
"Puebla","Tlahuapan","Cazadores",2.3,2016-02-12
"Puebla","Tianguismanalco","Otras causas",0.5,2016-02-12
"Puebla","Tlachichuca","Actividades agropecuarias",1,2016-02-12
"Puebla","Coyotepec","Otras causas",0.5,2016-02-12
"Puebla","Puebla","Actividades agropecuarias",1,2016-02-13
"Puebla","Nealtican","Actividades agropecuarias",0.55,2016-02-13
"Puebla","Aljojuca","Intencional",2,2016-02-13
"Puebla","Amozoc","Actividades agropecuarias",1.5,2016-02-13
"Puebla","Tepatlaxco de Hidalgo","Intencional",3,2016-02-13
"Puebla","Pahuatlán","Otras causas",1,2016-02-13
"Puebla","Lafragua","Intencional",1,2016-02-14
"Puebla","Cuyoaco","Otras causas",45.4,2016-02-15
"Puebla","Tochimilco","Cazadores",3,2016-02-14
"Puebla","Chignautla","Fogatas",0.5,2016-02-14
"Puebla","Tepanco de López","Actividades agropecuarias",1.5,2016-02-14
"Puebla","Zacatlán","Intencional",2,2016-02-15
"Puebla","Huejotzingo","Actividades agropecuarias",2,2016-02-15
