"entidad","tipo_de_fuente","pm_25","co","so2","nox"
"Puebla","Fuentes móviles que no circulan por carretera",0.126,0.683,0.074,2.121
"Puebla","Fuentes de área",111.717,920.708,3.193,25.852
"Puebla","Fuentes móviles carreteros",0.928,60.884,0.369,14.706
"Puebla","Fuentes móviles que no circulan por carretera",0.203,1.103,0.12,3.426
"Puebla","Fuentes fijas",1308.175,372.699,0,223.62
"Puebla","Fuentes de área",116.056,816.779,5.854,33.183
"Puebla","Fuentes móviles carreteros",11.454,1195.582,6.175,233.82
"Puebla","Fuentes móviles que no circulan por carretera",1.879,8.879,0.862,68.457
"Puebla","Fuentes de área",5.351,42.013,0.15,2.313
"Puebla","Fuentes móviles carreteros",0.019,12.717,0.052,2.049
"Puebla","Fuentes móviles que no circulan por carretera",0.019,0.105,0.011,0.326
"Puebla","Fuentes de área",373.377,2019.508,7.16,66.986
"Puebla","Fuentes móviles carreteros",53.558,1502.993,13.595,501.431
"Puebla","Fuentes móviles que no circulan por carretera",1.363,7.402,0.804,22.994
"Puebla","Fuentes fijas",0.102,0.571,0,3.366
"Puebla","Fuentes de área",84.153,649.622,2.429,23.761
"Puebla","Fuentes móviles carreteros",7.198,520.029,3.12,113.958
"Puebla","Fuentes móviles que no circulan por carretera",19.499,117.641,8.448,249.158
"Puebla","Fuentes de área",52.367,537.149,4.072,16.171
"Puebla","Fuentes móviles carreteros",4.681,376.322,2.074,80.433
"Puebla","Fuentes móviles que no circulan por carretera",0.059,0.323,0.035,1.003
"Puebla","Fuentes de área",7.057,55.725,0.193,1.656
"Puebla","Fuentes móviles carreteros",0.086,46.149,0.188,7.309
"Puebla","Fuentes móviles que no circulan por carretera",0.019,0.102,0.011,0.318
"Puebla","Fuentes de área",39.511,304.622,1.073,9.019
"Puebla","Fuentes móviles carreteros",5.592,98.364,1.199,42.35
"Puebla","Fuentes móviles que no circulan por carretera",0.168,0.913,0.099,2.837
"Puebla","Fuentes de área",94.398,773.416,3.275,22.576
"Puebla","Fuentes móviles carreteros",3.518,194.859,1.236,47.703
"Puebla","Fuentes móviles que no circulan por carretera",0.296,1.605,0.174,4.985
"Puebla","Fuentes de área",8.538,51.566,0.187,1.803
"Puebla","Fuentes móviles carreteros",2.955,166.972,1.061,38.819
"Puebla","Fuentes móviles que no circulan por carretera",1.012,6.1,0.445,12.686
"Puebla","Fuentes de área",15.007,112.998,0.399,4.224
"Puebla","Fuentes móviles carreteros",2.013,193.012,1.011,39.029
"Puebla","Fuentes móviles que no circulan por carretera",0.073,0.395,0.043,1.226
"Puebla","Fuentes de área",72.85,588.792,2.043,16.357
"Puebla","Fuentes móviles carreteros",0.013,7.437,0.028,1.111
"Puebla","Fuentes móviles que no circulan por carretera",0.264,1.433,0.156,4.452
